Männervorname,URI
Ignatius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00233
Benjamin,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00234
Hans Enderli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00235
Reinhard Kasimir,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00236
Hans Thomas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00237
Hugo,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00238
Kleinbartholomäus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00239
Titianus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00240
Cornel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00241
Bonaventura,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00242
Elie,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00243
Pierrot,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00244
Denis,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00245
Christophorus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00246
Pelagius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00247
Blasius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00248
Morandus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00249
Lütti,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00250
Timotheus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00251
Leupold,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00252
Hans Hermann,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00253
Jesajas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00254
Ezechiel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00255
Hans Michael,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00256
Langfelix,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00257
Egli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00258
Wolf Friedrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00259
Wolf,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00260
Dietegen,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00261
Hans Wilpert,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00262
Leo,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00263
Hans Lux,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00264
