Nachname,URI
Steinkeller,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Steinkeller
Plattner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Plattner
Schneider,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schneider
Werdmüller,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Werdmueller
Merk,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Merk
Stumpf,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stumpf
Hirzel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hirzel
Ehrensperger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ehrensperger
Weber,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Weber
Teucher,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Teucher
Kramer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kramer
Riesch,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Riesch
Ruff,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ruff
Zur Eich,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Zur_Eich
Hotz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hotz
Aber,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Aber
Löffelsperger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Loeffelsperger
Gengelbach,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gengelbach
Knus,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Knus
Schärer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schaerer
Harder,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Harder
Syfrig,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Syfrig
Stolz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stolz
Lässer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Laesser
Steffen,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Steffen
Schüepp,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schueepp
Baltensweiler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Baltensweiler
Baag,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Baag
Pfau,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Pfau
Kutt,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kutt
Hofmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hofmann
Lüthi,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Luethi
Huber,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Huber
Simon,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Simon
Rösli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Roesli
Ritener,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ritener
Kessler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kessler
Schär,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schaer
Geuschel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Geuschel
Schmid,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schmid
Hafner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hafner
Brunner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Brunner
Kreis,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kreis
Grebel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Grebel
Blauner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Blauner
Bächi,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Baechi
Isenring,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Isenring
Wiederkehr,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wiederkehr
Spriel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Spriel
Guhl,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Guhl
Wetzel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wetzel
Breiter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Breiter
Käppeler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kaeppeler
Bäggli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Baeggli
Zimmermann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Zimmermann
Strasser,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Strasser
Höngger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hoengger
Breu,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Breu
