Nachname,URI
Kreyer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kreyer
Sehweiler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Sehweiler
Spindelhörnli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Spindelhoernli
Stähli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Staehli
Egg,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Egg
Dürreisen,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Duerreisen
Stengeli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stengeli
Winster,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Winster
Horb,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Horb
Feusi,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Feusi
Rosenberg,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rosenberg
Geissmeyer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Geissmeyer
Lereth,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Lereth
Horn,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Horn
Humal,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Humal
Tinggel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Tinggel
Hertli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hertli
de Bernonville,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_de_Bernonville
Hermatschweiler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hermatschweiler
Faure,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Faure
Enderlin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Enderlin
Bächtinger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Baechtinger
Richener,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Richener
Buriger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Buriger
Lütscher,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Luetscher
Renfli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Renfli
Zingerli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Zingerli
Holfinger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Holfinger
Hämmerli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Haemmerli
Oberkan,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Oberkan
Meyer von Knonau,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Meyer_von_Knonau
Stifter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stifter
Alexander,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Alexander
Wahnsidler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wahnsidler
Gysin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gysin
Stigeli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stigeli
Tröger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Troeger
Döbler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Doebler
Räber,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Raeber
Wälther,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Waelther
Trittler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Trittler
Scheid,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Scheid
Itschner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Itschner
Schnider,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schnider
Finsler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Finsler
Kleinschmid,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kleinschmid
Dünnenberger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Duennenberger
Rocq,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rocq
Schiterberg,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schiterberg
Juch,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Juch
Tissot,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Tissot
Schöffer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schoeffer
Schöffen,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schoeffen
Bilang,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bilang
Biland,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Biland
Schüdler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schuedler
Studach,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Studach
Williams,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Williams
Goringa,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Goringa
Scheuber,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Scheuber
Merkler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Merkler
Spleiss,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Spleiss
Sahler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Sahler
Vögelin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Voegelin
Mathis,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Mathis
Dicht,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Dicht
Mahler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Mahler
Nüscheler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Nuescheler
Lassecy,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Lassecy
Wacher,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wacher
Hügi,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Huegi
Könitzer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Koenitzer
Brüw,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bruew
Hütter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Huetter
Liener,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Liener
Kalner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kalner
Kopper,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kopper
Moller,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Moller
Reisel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Reisel
Reiser,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Reiser
Russenberger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Russenberger
Engelmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Engelmann
Borer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Borer
Merklii,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Merklii
Tscheuri,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Tscheuri
Hücheli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Huecheli
Winkenbach,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Winkenbach
Neth,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Neth
Ehrat,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ehrat
Hömeli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hoemeli
Flaad,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Flaad
Menser,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Menser
Merklin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Merklin
Guyer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Guyer
Spiessli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Spiessli
Gründel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gruendel
Kalmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kalmann
